,total_te,total_de,total_rv,total_error
0,1.136223382047774e-08,1.2176579731494608e-13,15.726574132221785,1.136235550092124e-08
1,1.136223382047774e-08,1.418881424028809e-13,9.646963889846594,1.1362375929024893e-08
2,1.136223382047774e-08,8.078146441700684e-14,7.687740879749504,1.1362314644713933e-08
3,1.136223382047774e-08,1.1830217794966957e-13,20.87295364428922,1.136235194820756e-08
4,1.136223382047774e-08,1.1801429516782036e-13,17.007652894073146,1.136235194820756e-08
5,1.136223382047774e-08,8.795644334397279e-14,26.393942033703677,1.1362321750141291e-08
6,1.136223382047774e-08,1.1825051571615064e-13,29.154700094515782,1.136235194820756e-08
7,1.136223382047774e-08,1.1782309611470254e-13,26.296567392318977,1.136235194820756e-08
8,1.136223382047774e-08,1.2173178047178435e-13,12.053008420475196,1.136235550092124e-08
9,1.136223382047774e-08,1.2559427781631827e-13,21.12501134205928,1.1362359053634918e-08
10,1.136223382047774e-08,1.2047155807659582e-13,22.555749845887537,1.136235461274282e-08
11,1.099849100683059e-08,1.2176579731494608e-13,34.50701942674562,1.099861268727409e-08
12,1.099849100683059e-08,1.418881424028809e-13,28.4359546583594,1.0998633115377743e-08
13,1.099849100683059e-08,8.078146441700684e-14,31.875630109205943,1.0998571831066783e-08
14,1.099849100683059e-08,1.1830217794966957e-13,44.19491070332782,1.0998609134560411e-08
15,1.099849100683059e-08,1.1801429516782036e-13,40.18206124724603,1.0998609134560411e-08
16,1.099849100683059e-08,8.795644334397279e-14,49.512434679547184,1.0998578936494141e-08
17,1.099849100683059e-08,1.1825051571615064e-13,43.16206735980528,1.0998609134560411e-08
18,1.099849100683059e-08,1.1782309611470254e-13,46.89650131547426,1.0998609134560411e-08
19,1.099849100683059e-08,1.2173178047178435e-13,40.63222016336041,1.099861268727409e-08
20,1.099849100683059e-08,1.2559427781631827e-13,44.32339476520021,1.0998616239987768e-08
21,1.099849100683059e-08,1.2047155807659582e-13,43.04926094400109,1.099861179909567e-08
22,5.282758674951538e-09,1.2176579731494608e-13,43.15580759245434,5.2828803553950365e-09
23,5.282758674951538e-09,1.418881424028809e-13,37.45186533809381,5.28290078349869e-09
24,5.282758674951538e-09,8.078146441700684e-14,38.665142989093006,5.28283949918773e-09
25,5.282758674951538e-09,1.1830217794966957e-13,50.935149509529346,5.282876802681358e-09
26,5.282758674951538e-09,1.1801429516782036e-13,46.99180861861574,5.282876802681358e-09
27,5.282758674951538e-09,8.795644334397279e-14,56.230112835203855,5.282846604615088e-09
28,5.282758674951538e-09,1.1825051571615064e-13,49.08723625350215,5.282876802681358e-09
29,5.282758674951538e-09,1.1782309611470254e-13,53.21784475436547,5.282876358592148e-09
30,5.282758674951538e-09,1.2173178047178435e-13,47.65162814645005,5.2828803553950365e-09
31,5.282758674951538e-09,1.2559427781631827e-13,51.11507702245107,5.282884352197925e-09
32,5.282758674951538e-09,1.2047155807659582e-13,49.351406665802244,5.282879023127407e-09
33,6.6970953227496466e-09,1.2176579731494608e-13,22.795295611720114,6.6972170031931455e-09
34,6.6970953227496466e-09,1.418881424028809e-13,16.616926131844924,6.697237431296799e-09
35,6.6970953227496466e-09,8.078146441700684e-14,14.795155062166918,6.697176146985839e-09
36,6.6970953227496466e-09,1.1830217794966957e-13,27.87590404379487,6.697213450479467e-09
37,6.6970953227496466e-09,1.1801429516782036e-13,24.169283025089054,6.697213450479467e-09
38,6.6970953227496466e-09,8.795644334397279e-14,33.549726462783454,6.697183252413197e-09
39,6.6970953227496466e-09,1.1825051571615064e-13,36.000077537268155,6.697213450479467e-09
40,6.6970953227496466e-09,1.1782309611470254e-13,32.74117723764303,6.697213006390257e-09
41,6.6970953227496466e-09,1.2173178047178435e-13,17.525651111193937,6.6972170031931455e-09
42,6.6970953227496466e-09,1.2559427781631827e-13,27.999265126281536,6.697220999996034e-09
43,6.6970953227496466e-09,1.2047155807659582e-13,28.94786160317426,6.697215670925516e-09
